sp|O80634|PNSL1_ARATH	Zm00001eb012750_P001	63.462	156	66	1.21e-73	224
sp|O80634|PNSL1_ARATH	Zm00001eb012750_P002	62.205	127	53	1.22e-57	182
sp|O80634|PNSL1_ARATH	Zm00001eb001650_P005	38.983	177	74	5.21e-39	136
sp|O80634|PNSL1_ARATH	Zm00001eb001650_P004	38.983	177	74	5.21e-39	136
sp|O80634|PNSL1_ARATH	Zm00001eb001650_P003	37.640	178	75	1.36e-38	135
sp|O80634|PNSL1_ARATH	Zm00001eb001650_P002	37.640	178	75	1.36e-38	135
sp|O80634|PNSL1_ARATH	Zm00001eb001650_P001	37.640	178	75	1.36e-38	135
sp|O80634|PNSL1_ARATH	Zm00001eb142170_P001	28.889	90	37	5.36e-06	47.4
sp|P82538|PPL1_ARATH	Zm00001eb001650_P005	70.000	180	78	4.77e-90	266
sp|P82538|PPL1_ARATH	Zm00001eb001650_P004	70.000	180	78	4.77e-90	266
sp|P82538|PPL1_ARATH	Zm00001eb001650_P003	69.274	179	78	6.50e-88	260
sp|P82538|PPL1_ARATH	Zm00001eb001650_P002	69.274	179	78	6.50e-88	260
sp|P82538|PPL1_ARATH	Zm00001eb001650_P001	69.274	179	78	6.50e-88	260
sp|P82538|PPL1_ARATH	Zm00001eb012750_P001	39.873	158	69	1.21e-39	137
sp|P82538|PPL1_ARATH	Zm00001eb012750_P002	36.220	127	55	1.20e-24	97.4
sp|P82538|PPL1_ARATH	Zm00001eb142170_P001	24.468	188	65	3.48e-12	65.1
sp|P82538|PPL1_ARATH	Zm00001eb028550_P003	25.714	210	79	3.85e-12	65.5
sp|P82538|PPL1_ARATH	Zm00001eb028550_P002	25.714	210	79	6.60e-12	65.1
sp|P82538|PPL1_ARATH	Zm00001eb159760_P001	22.826	276	97	1.34e-07	52.0
sp|P82538|PPL1_ARATH	Zm00001eb117670_P001	28.571	147	55	2.00e-07	51.2
sp|P82538|PPL1_ARATH	Zm00001eb028550_P001	24.623	199	79	2.28e-07	51.2
sp|P82538|PPL1_ARATH	Zm00001eb358300_P003	21.561	269	96	3.64e-07	50.8
sp|P82538|PPL1_ARATH	Zm00001eb299760_P001	25.309	162	61	8.71e-07	49.3
sp|P82538|PPL1_ARATH	Zm00001eb159760_P002	22.581	279	98	9.25e-07	49.7
sp|P82538|PPL1_ARATH	Zm00001eb150500_P001	25.385	130	57	1.86e-06	48.5
sp|P82538|PPL1_ARATH	Zm00001eb358300_P002	21.111	270	96	1.97e-06	48.5
sp|P82538|PPL1_ARATH	Zm00001eb358300_P001	20.974	267	95	9.49e-06	46.6
sp|Q42029|PSBP1_ARATH	Zm00001eb299760_P001	66.031	262	99	2.81e-113	327
sp|Q42029|PSBP1_ARATH	Zm00001eb299760_P002	58.446	296	99	5.60e-106	309
sp|Q42029|PSBP1_ARATH	Zm00001eb117670_P001	68.561	264	100	6.27e-104	303
sp|Q42029|PSBP1_ARATH	Zm00001eb001650_P005	23.695	249	93	6.46e-06	47.0
sp|Q42029|PSBP1_ARATH	Zm00001eb001650_P004	23.695	249	93	6.46e-06	47.0
sp|Q42029|PSBP1_ARATH	Zm00001eb001650_P003	22.892	249	93	7.98e-06	47.0
sp|Q42029|PSBP1_ARATH	Zm00001eb001650_P002	22.892	249	93	7.98e-06	47.0
sp|Q42029|PSBP1_ARATH	Zm00001eb001650_P001	22.892	249	93	7.98e-06	47.0
